NullSectorTask27.reconIso_orientation :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.reconIso_unique :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.topologicalFibreTriv_induces_frameEquiv :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.topologicalFibreTriv_induces_topologicalFrameTriv :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.topologicalFibreTriv_of_homeo :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.transitionOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.continuous_internal_reps_difference_unique_kerSign :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.defect_changes_of_nontrivial_kerFun :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.defect_eq_iff_changeFactor_trivial :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.exact_internal_transition_compatibility_iff_defect_trivial :: [propext]
NullSectorTask28.InternalProjection.exists_local_continuous_internal_rep :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.exists_local_rep_of_transitionSystem :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.exists_nonconstant_kerFun_of_disconnected :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.internal_reps_free_transitive :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.inv_rep_difference_unique :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.isInternalRepOn_inv :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.isInternalRepOn_kerFun_mul :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.isInternalRepOn_one :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.isLocallyConstant_toKerFun :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.local_action_diagram_commutes :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.overlapRefinement :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.proj_rep_eq_transition :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.quadruple_defect_consistency :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.refinementOfContinuous :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.refinement_comparison_defect :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.refinement_comparison_kerFun :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.relFactor_isKerFunOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.relFactor_mem_ker :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.toKerFun_const_of_connected :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.tripleDefect_const_of_connected :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.tripleDefect_isKerFunOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.tripleDefect_isLocallyConstant :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.tripleDefect_mem_ker :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.triple_defect_change_of_rep :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalProjection.triple_overlap_defect :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalTransitionCandidate.defect_isKerFunOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalTransitionCandidate.defect_isLocallyConstant :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.InternalTransitionCandidate.exact_compatibility_iff_defect_trivial :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.candidateOfSystem :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.defect_trivial_imp_exact_compatibility :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.exact_compatibility_of_trivialisation :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.inherited_locally_representable :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.levelC_imp_defect_trivial :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.level_A_pointwise_representable :: [Classical.choice, Quot.sound, propext]
NullSectorTask28.level_B_locally_continuously_representable :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.Counterexample.badCandidate_not_tripleDefectFree :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.Counterexample.tripleDefectFreeDistinct_not_imp_pairwiseRefinementCoherent :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.adjust :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.adjust_adjust :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.adjust_defect :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.adjust_inv_adjust :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.adjust_isRep :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canDescendPairwise_iff_glue :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialiseSimultaneously_iff_exists_compatible_transitions :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_adjust_iff :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_candidate_independent :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_constant_on_defectGauge :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_iff_canTrivialiseSimultaneously :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_iff_exists_defectFree_adjusted :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_imp_canDescendPairwise :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.canTrivialise_restrict_iff :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatibilityReady_iff_canTrivialise :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatibilityReady_iff_exists_compatible_transitions :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatibility_ready_iff_single_adjustment_solves_all_required_kernel_equations :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatibleTransitionsOfDefectFree :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatibleTransitionsOfDefectFree_restricts :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatible_transitions_interface :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.compatible_transitions_kernel_ambiguity :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectFreeSystemOfSolution :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectFree_exact_triple_law :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectFree_identity_normalisation :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectFree_implies_normalized_transition_laws_on_common_domain :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectFree_inverse_normalisation :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectGaugeRelated_refl :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectGaugeRelated_symm :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.defectGaugeRelated_trans :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.kappa :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.kappa_adjust :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.kappa_comp :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.kappa_isKerFunOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask29.kappa_isLocallyConstant :: [Classical.choice, Quot.sound, propext]
